,dependents,education,self_employed,loan_amount_term,credit_history,property_area,loan_status,total_income_log,loan_amount_log
0,0,0,0,360.0,1.0,2,1,8.674025985443025,4.852030263919617
1,1,0,0,360.0,1.0,0,0,8.714567550836485,4.852030263919617
2,0,0,1,360.0,1.0,2,1,8.006367567650246,4.189654742026425
3,0,1,0,360.0,1.0,2,1,8.50532301884575,4.787491742782046
4,0,0,0,360.0,1.0,2,1,8.699514748210191,4.948759890378168
5,2,0,1,360.0,1.0,2,1,9.170871628065816,5.566434283504978
6,0,1,0,360.0,1.0,2,1,8.255568653283746,4.553876891600541
7,4,0,0,360.0,0.0,1,0,8.61974977974133,5.062595033026967
8,2,0,0,360.0,1.0,2,1,8.61830469278465,5.123963979403259
9,1,0,0,360.0,1.0,1,0,9.674978067817195,5.566434283504978
10,2,0,0,360.0,1.0,2,1,8.268731832117737,4.248495242049359
11,2,0,0,360.0,1.0,2,1,8.375629627094451,4.6913478822291435
12,2,0,0,360.0,1.0,2,1,9.084337710058058,5.298317366548036
13,0,0,0,360.0,1.0,0,0,8.453827315794417,4.736198448394496
14,2,0,0,120.0,1.0,2,1,7.776954403322442,2.833213344056216
15,0,0,0,360.0,1.0,2,1,8.507142855562735,4.8283137373023015
16,1,1,0,240.0,1.0,2,1,8.18757739559151,4.605170185988092
17,0,0,0,360.0,0.0,2,0,8.163371316459912,4.330733340286331
18,0,1,0,360.0,1.0,0,0,8.494333897270154,4.890349128221754
19,0,0,0,360.0,1.0,2,1,8.716044050161402,4.74493212836325
20,0,1,0,360.0,0.0,2,0,8.943767262734637,4.6443908991413725
21,1,0,0,360.0,1.0,2,1,9.357034751126987,5.566434283504978
22,0,1,0,360.0,0.0,1,0,8.414274137408396,4.7535901911063645
23,2,1,0,360.0,0.0,0,0,8.572060092857077,4.718498871295094
24,1,0,0,360.0,1.0,1,0,8.801168401936692,5.017279836814924
25,0,0,1,360.0,1.0,1,1,9.165343006045447,5.25227342804663
26,0,0,0,360.0,1.0,1,1,8.527539483470381,4.804021044733257
27,2,1,0,360.0,1.0,2,1,8.569026340056254,4.700480365792417
28,0,1,0,360.0,1.0,2,0,7.273786317844895,3.5553480614894135
29,2,0,0,360.0,1.0,1,1,8.671286726753637,4.787491742782046
30,1,0,0,360.0,1.0,2,0,8.927314111060596,5.303304908059076
31,0,0,0,360.0,1.0,2,0,8.06054004653864,4.30406509320417
32,1,0,1,360.0,1.0,0,0,8.453614209773367,4.663439094112067
33,0,0,0,360.0,1.0,1,1,8.550047528287184,4.736198448394496
34,4,0,0,360.0,1.0,0,0,9.485791702913737,5.566434283504978
35,0,0,0,360.0,1.0,2,1,8.376090350438238,4.852030263919617
36,0,0,0,360.0,0.0,2,0,8.057694194815587,4.605170185988092
37,0,0,0,360.0,1.0,1,1,8.542080906924017,4.969813299576001
38,0,0,0,360.0,1.0,2,1,9.201211328773965,5.214935757608986
39,0,1,0,360.0,1.0,1,1,8.59711281459211,4.700480365792417
40,0,0,0,360.0,1.0,2,0,8.1886891244442,4.382026634673881
41,0,0,0,360.0,1.0,2,1,8.0106915391303,3.8501476017100584
42,0,0,0,360.0,1.0,2,1,7.783224016336037,4.31748811353631
43,0,0,0,360.0,1.0,1,1,8.744647438317532,4.897839799950911
44,0,1,1,360.0,1.0,2,1,8.454253391642363,4.564348191467836
45,0,0,0,360.0,1.0,2,1,8.134467570277563,4.477336814478207
46,1,0,0,360.0,1.0,2,1,8.639233817325263,3.784189633918261
47,0,0,0,360.0,1.0,2,1,8.669227347271736,4.969813299576001
48,0,0,0,360.0,0.0,2,0,8.713582005421628,4.787491742782046
49,0,0,0,360.0,1.0,1,1,8.744328763999984,4.969813299576001
50,0,1,0,360.0,1.0,1,1,8.18088094199639,4.605170185988092
51,0,0,0,360.0,1.0,1,1,8.034631032923107,4.787491742782046
52,0,0,0,360.0,1.0,1,0,8.349957272040324,4.718498871295094
53,2,0,0,360.0,1.0,2,0,8.437283808187935,4.897839799950911
54,1,0,1,360.0,0.0,2,0,9.227320392010867,5.566434283504978
55,2,0,0,360.0,1.0,1,1,8.262300941787448,4.574710978503383
56,0,0,0,360.0,1.0,1,1,8.222285073872717,4.564348191467836
57,0,0,0,360.0,1.0,0,0,8.624431942085836,4.90527477843843
58,1,0,0,360.0,1.0,2,1,9.242807562113684,5.19295685089021
59,2,1,0,360.0,1.0,2,1,8.734881892047483,4.969813299576001
60,0,0,0,360.0,1.0,2,1,8.74766979009724,4.787491742782046
61,4,0,0,360.0,1.0,2,1,8.015987811027237,4.59511985013459
62,0,1,1,180.0,0.0,0,0,8.709134991587183,5.10594547390058
63,1,0,0,360.0,0.0,0,0,8.506132244056813,4.852030263919617
64,0,0,0,360.0,0.0,1,0,8.334711621820917,4.7535901911063645
65,0,0,0,360.0,1.0,1,0,9.241935933565934,5.552959584921617
66,0,1,0,180.0,0.0,2,0,8.604104563405533,4.836281906951478
67,1,0,0,360.0,1.0,2,1,9.227320392010867,5.566434283504978
68,4,1,1,60.0,1.0,2,1,8.867850063029406,4.8283137373023015
69,0,0,0,360.0,0.0,1,0,8.366370301681654,4.912654885736052
70,0,0,0,360.0,1.0,2,1,8.744169388750624,5.147494476813453
71,2,1,1,360.0,1.0,1,1,8.229511118964457,4.574710978503383
72,0,0,0,300.0,1.0,1,1,8.160518247477505,4.394449154672439
73,4,1,0,360.0,0.0,1,0,8.46695197497949,4.553876891600541
74,4,0,1,360.0,1.0,1,1,8.859363449152088,5.231108616854587
